aggregation_method,layer,global_mean,global_var,median_nonzero_mean,median_nonzero_var,nonzero_frac,max_mean,max_var,num_nonzero_features,total_features
topk_mean,0,1.3541088104248047,47.43900680541992,0.3998546600341797,6.487363338470459,0.45965576171875,540.824951171875,82215.2265625,7531,16384
topk_mean,1,1.4084912538528442,47.93029022216797,0.4112378656864166,6.899301528930664,0.47052001953125,371.468017578125,35307.44921875,7709,16384
topk_mean,2,1.609928846359253,52.407981872558594,0.441943883895874,7.701518535614014,0.46356201171875,349.3297119140625,19432.130859375,7595,16384
topk_mean,3,1.7598122358322144,57.91292190551758,0.4781467914581299,8.061875343322754,0.48956298828125,517.6968994140625,13821.5361328125,8021,16384
topk_mean,4,2.143005132675171,81.24352264404297,0.5906498432159424,11.80668830871582,0.43414306640625,570.949951171875,28914.181640625,7113,16384
topk_mean,5,2.2517313957214355,103.41459655761719,0.6308333873748779,14.886247634887695,0.4061279296875,820.7271728515625,34552.1015625,6654,16384
topk_mean,6,2.365230083465576,109.37662506103516,0.7102200388908386,16.853609085083008,0.42645263671875,560.6355590820312,30125.095703125,6987,16384
topk_mean,7,3.060856819152832,170.84132385253906,0.8651970028877258,23.240421295166016,0.40234375,533.157470703125,63507.19921875,6592,16384
topk_mean,8,3.6075010299682617,201.9373016357422,1.0560795068740845,29.597087860107422,0.40472412109375,675.9654541015625,68744.1328125,6631,16384
topk_mean,9,3.930598735809326,228.57118225097656,1.1053844690322876,30.818920135498047,0.40692138671875,766.4407958984375,116761.3671875,6667,16384
topk_mean,10,4.381206512451172,265.0266418457031,1.326582431793213,40.280643463134766,0.36639404296875,1181.1365966796875,169718.921875,6003,16384
topk_mean,11,5.29284143447876,367.90203857421875,1.5858776569366455,50.8520393371582,0.33892822265625,1286.8994140625,306316.09375,5553,16384
topk_mean,12,5.489611625671387,338.6391906738281,1.3631982803344727,40.17753601074219,0.35015869140625,1302.3582763671875,191447.578125,5737,16384
topk_mean,13,6.209836483001709,394.024169921875,1.1406402587890625,27.32838249206543,0.3619384765625,1195.18310546875,170306.78125,5930,16384
topk_mean,14,6.195523738861084,388.1150817871094,1.0518783330917358,25.906639099121094,0.40728759765625,1224.44677734375,191793.265625,6673,16384
topk_mean,15,7.20070743560791,503.0321350097656,1.341629147529602,39.50349044799805,0.43402099609375,1438.0816650390625,135539.484375,7111,16384
topk_mean,16,8.547103881835938,739.900146484375,2.2758378982543945,106.65339660644531,0.38720703125,1807.654052734375,197391.34375,6344,16384
topk_mean,17,11.496668815612793,1501.598388671875,3.6409623622894287,225.69537353515625,0.36181640625,2506.583740234375,603670.125,5928,16384
topk_mean,18,13.021038055419922,1875.106689453125,4.387575626373291,309.66522216796875,0.391845703125,2515.7412109375,624253.4375,6420,16384
topk_mean,19,15.983256340026855,2958.573486328125,5.320319175720215,476.6033630371094,0.41400146484375,2762.9560546875,1267972.0,6783,16384
topk_mean,20,18.31136703491211,4064.01025390625,6.557059288024902,750.5589599609375,0.43353271484375,3314.11376953125,2142488.0,7103,16384
topk_mean,21,21.273418426513672,5111.1552734375,7.231850624084473,994.8062744140625,0.46881103515625,3749.263671875,1979155.625,7681,16384
topk_mean,22,24.28944969177246,6659.0185546875,8.37948989868164,1444.918701171875,0.4884033203125,3538.86962890625,1860195.25,8002,16384
topk_mean,23,28.528404235839844,9592.1640625,9.000200271606445,1798.6103515625,0.5037841796875,4737.20166015625,2529274.5,8254,16384
topk_mean,24,31.754169464111328,12643.8388671875,10.285890579223633,2579.805908203125,0.4979248046875,5278.291015625,3091264.0,8158,16384
topk_mean,25,35.939300537109375,16412.46484375,11.749406814575195,3369.5615234375,0.50244140625,6393.26318359375,3598781.5,8232,16384
topk_mean,26,39.29938507080078,21092.845703125,13.179544448852539,4175.6826171875,0.492431640625,7267.544921875,5467588.5,8068,16384
